,eplenmean,eprew,fps,total_timesteps,policy_loss,value_loss,policy_entropy,approxkl,clipfrac,l2_loss,train_score
0,179.91,1.8,1041,16384.0,-0.0017601071,0.16828848,1.943625,0.0021236418,0.0087890625,417.47202,1.8
1,301.14,3.8,2814,32768.0,-0.0026848733,0.35237494,1.9233311,0.005186517,0.04164632,417.6304,3.8
2,269.51,4.9,2720,49152.0,-0.0029227857,1.0298206,1.899083,0.0049117203,0.044759113,417.91553,4.9
3,180.42,5.4,2641,65536.0,-0.0023628904,1.2386761,1.8810763,0.0036900472,0.027486166,418.2714,5.4
4,128.18,3.0,2692,81920.0,-0.0016141995,0.9714632,1.8701767,0.0029233794,0.013773601,418.63394,3.0
5,121.31,3.7,2531,98304.0,-0.003167768,1.2883167,1.8143429,0.0063523203,0.046346027,419.10287,3.7
6,107.65,4.3,2694,114688.0,-0.0032767777,1.5763551,1.7948275,0.0042264583,0.040405273,419.59793,4.3
7,94.63,4.8,2621,131072.0,-0.0026821753,1.5544839,1.7569094,0.006024863,0.052266438,420.2003,4.8
8,89.93,4.1,2552,147456.0,-0.00019334156,1.585227,1.7631062,0.0023229073,0.012878418,420.8948,4.1
9,95.16,5.0,2575,163840.0,-0.001954972,1.3692861,1.7480556,0.0046484494,0.028442383,421.83228,5.0
10,80.68,4.6,2730,180224.0,-0.0013481416,1.6400639,1.7056112,0.0037083877,0.020385742,422.92526,4.6
11,83.36,5.0,2868,196608.0,-0.0022192067,1.7304587,1.6848874,0.0059793275,0.038208008,423.99817,5.0
12,84.16,4.7,2595,212992.0,-0.0016084207,1.5848985,1.6559616,0.0031163103,0.018900553,425.0591,4.7
13,76.75,4.9,2646,229376.0,-0.0018284945,1.5582509,1.6072689,0.004644927,0.036905926,426.20328,4.9
14,71.8,5.5,2678,245760.0,-0.00095444376,1.5665947,1.5889288,0.0034446036,0.026021322,427.3773,5.5
15,65.37,4.7,2580,262144.0,-0.0018717167,1.569356,1.5670444,0.005629105,0.032226562,428.7164,4.7
16,61.98,5.1,2611,278528.0,-0.0024331103,1.7386136,1.5567619,0.003253095,0.023579916,430.15323,5.1
17,62.57,5.3,2553,294912.0,-0.0016747583,1.4988486,1.5232075,0.004318342,0.02170817,431.29993,5.3
18,61.98,4.4,2602,311296.0,-0.0016822579,1.6133462,1.5327305,0.0024696593,0.020385742,432.4966,4.4
19,68.49,4.4,2490,327680.0,-0.0012755352,1.6733202,1.5281658,0.0031472484,0.013834636,433.54855,4.4
20,51.91,4.9,2548,344064.0,-0.0006332973,1.7234992,1.5178757,0.0017923781,0.009562175,434.64688,4.9
21,58.51,5.3,2466,360448.0,0.00014793861,1.9627482,1.4729614,0.0041786977,0.031717937,435.75986,5.3
22,55.91,5.9,2473,376832.0,-0.0024619207,1.6570672,1.4523422,0.003177949,0.02327474,436.94235,5.9
23,48.86,4.6,2448,393216.0,-0.001389761,2.0098045,1.4559544,0.0026855718,0.020019531,438.1683,4.6
24,55.73,6.3,2604,409600.0,-0.0014731303,1.807953,1.4462975,0.0022159684,0.008748372,439.19864,6.3
