,eplenmean,eprew,fps,total_timesteps,policy_loss,value_loss,policy_entropy,approxkl,clipfrac,l2_loss,train_score
0,61.95,8.8,1658,16384.0,-0.007811582,0.53995377,1.3572167,0.016032226,0.18414307,265.162,8.8
1,64.89,8.8,3632,32768.0,-0.012841664,0.5114706,1.3595027,0.01049861,0.13360596,265.3099,8.8
2,75.94,9.1,3603,49152.0,-0.00955782,0.64842993,1.3747035,0.009584302,0.13482666,265.41782,9.1
3,69.45,8.7,3636,65536.0,-0.012657142,0.6375633,1.3565513,0.008023546,0.119893394,265.55087,8.7
4,73.29,8.9,3641,81920.0,-0.012795203,0.49189126,1.3585249,0.008979511,0.14701335,265.7509,8.9
5,63.4,9.4,3652,98304.0,-0.01000063,0.72094893,1.3661245,0.009203669,0.15738933,265.90744,9.4
6,67.81,8.4,3649,114688.0,-0.008277619,0.8026721,1.360704,0.0066399705,0.13079834,265.9384,8.4
7,65.11,9.1,2950,131072.0,-0.009320666,0.60995275,1.3824754,0.0071423533,0.14939372,266.02994,9.1
8,59.51,9.5,3673,147456.0,-0.0116202785,0.46325448,1.3654208,0.007502604,0.1630656,265.9746,9.5
9,57.63,8.9,3000,163840.0,-0.0076241815,0.7069126,1.3609668,0.0053907204,0.13527425,265.91824,8.9
10,63.58,8.9,2922,180224.0,-0.0086035095,0.63594395,1.3827196,0.0045499452,0.12630208,265.86853,8.9
11,62.19,8.3,3680,196608.0,-0.00848685,0.72724205,1.3653135,0.0056510293,0.16684978,265.8263,8.3
12,68.97,8.3,3646,212992.0,-0.0056281476,0.6477446,1.3478804,0.0059767836,0.20265706,265.79984,8.3
13,83.7,8.7,3659,229376.0,-0.0071997517,0.65097094,1.3602189,0.00530814,0.18575032,265.81216,8.7
14,67.91,8.7,2986,245760.0,-0.008416734,0.64450115,1.3463615,0.0038885872,0.15531413,265.77853,8.7
15,66.47,8.1,3615,262144.0,-0.006737387,0.73520154,1.3603586,0.0029266889,0.14908855,265.6663,8.1
16,61.39,9.0,3001,278528.0,-0.0059317704,0.707916,1.339293,0.002347431,0.13568115,265.5433,9.0
17,52.66,9.1,3639,294912.0,-0.0051032337,0.90540785,1.3507634,0.0019023209,0.12571208,265.39676,9.1
18,56.57,9.2,3657,311296.0,-0.005680749,0.86528236,1.3484136,0.0017230599,0.1338094,265.2565,9.2
19,59.67,8.9,3615,327680.0,-0.005964113,0.6767474,1.367555,0.0018202752,0.16444905,265.0878,8.9
20,60.85,9.5,3647,344064.0,-0.0043124366,0.72936565,1.3415569,0.0017169722,0.18164062,264.90295,9.5
21,56.35,9.5,3651,360448.0,-0.0039001189,0.5016711,1.3621856,0.0012659603,0.17626953,264.75348,9.5
22,63.28,8.7,3617,376832.0,-0.0033260675,0.8925956,1.37332,0.0006374404,0.11741129,264.5972,8.7
23,60.8,8.0,3647,393216.0,-0.0025464864,0.8879988,1.365667,0.0005961913,0.14241536,264.47333,8.0
24,62.92,8.5,3000,409600.0,-0.0025311585,0.7463848,1.3529865,0.00045560603,0.14345296,264.36124,8.5
25,58.21,8.1,3615,425984.0,-0.0017639482,0.9671845,1.3535303,0.0002792609,0.12670898,264.2392,8.1
26,66.39,8.9,2975,442368.0,-0.0017369516,0.6731673,1.355526,0.00021071338,0.1393636,264.15536,8.9
27,67.33,9.5,2967,458752.0,-0.0016096405,0.47015628,1.3768253,0.00014581863,0.1739502,264.08304,9.5
28,71.04,7.6,3635,475136.0,-0.0010208689,0.84072167,1.3739988,5.5104378e-05,0.15690105,264.01538,7.6
29,70.87,8.4,3650,491520.0,-0.0004993728,0.8020587,1.362338,1.4126262e-05,0.15708415,263.9719,8.4
30,62.66,9.1,1736,516384.0,-0.0065004085,0.6619082,1.3571655,0.017616466,0.1975301,263.978,9.1
