,eplenmean,eprew,fps,total_timesteps,policy_loss,value_loss,policy_entropy,approxkl,clipfrac,l2_loss,train_score
0,64.83,8.8,1590,16384.0,-0.00010653329,0.86650854,1.3352605,0.01883927,0.19785564,284.2729,8.8
1,65.4,9.2,3541,32768.0,-0.011549022,0.7361073,1.3444349,0.012217582,0.16304524,284.4966,9.2
2,71.35,8.5,3538,49152.0,-0.008953128,0.8695502,1.3424659,0.009415116,0.14027913,284.72614,8.5
3,67.79,8.2,3537,65536.0,-0.012802463,0.8673942,1.3322786,0.009552662,0.14471436,284.87805,8.2
4,67.34,8.5,3617,81920.0,-0.012112147,0.69753885,1.316104,0.009225328,0.15450032,285.1546,8.5
5,63.91,7.6,3552,98304.0,-0.01091479,0.8719602,1.3023218,0.007029315,0.123291016,285.38632,7.6
6,60.65,8.8,2509,114688.0,-0.009904604,0.8373464,1.325822,0.005756116,0.112080894,285.57797,8.8
7,66.09,8.2,3632,131072.0,-0.010331585,0.8724442,1.3197649,0.006556845,0.14093018,285.61078,8.2
8,66.56,8.4,3576,147456.0,-0.0080216825,0.8220954,1.2981882,0.0068306993,0.15708415,285.7266,8.4
9,73.58,9.3,3590,163840.0,-0.010058413,0.6450668,1.3123078,0.00581436,0.15435791,285.84732,9.3
10,68.66,8.5,3579,180224.0,-0.0077713765,1.0388898,1.3063546,0.005155938,0.14123535,285.85617,8.5
11,60.27,8.9,3631,196608.0,-0.008819825,0.93983746,1.2995359,0.00419301,0.12373861,285.84714,8.9
12,63.01,8.4,3576,212992.0,-0.0072323564,0.8413348,1.3238637,0.003316272,0.12121582,285.84344,8.4
13,66.13,8.0,2925,229376.0,-0.007847431,0.8582818,1.3002124,0.004662348,0.17956543,285.87915,8.0
14,68.45,8.3,3539,245760.0,-0.0063282046,0.82405066,1.3228208,0.0026578663,0.119506836,285.90515,8.3
15,71.72,8.3,3536,262144.0,-0.0061254925,0.82199645,1.3147548,0.0031307281,0.1661377,285.91486,8.3
16,79.15,8.7,3536,278528.0,-0.0063920473,0.7871437,1.3089436,0.0026942876,0.15669759,285.84982,8.7
17,57.86,7.7,2920,294912.0,-0.005156448,0.9547572,1.3047795,0.0019200072,0.12856038,285.7824,7.7
18,57.77,9.5,3570,311296.0,-0.0057035815,0.71931744,1.2962047,0.0020702803,0.16123454,285.67743,9.5
19,69.28,8.3,3565,327680.0,-0.0046240296,0.89924985,1.323531,0.0013890294,0.13140869,285.52267,8.3
20,64.58,8.0,3654,344064.0,-0.004933545,0.79330724,1.3290961,0.001406562,0.15350342,285.40512,8.0
21,57.78,7.8,3589,360448.0,-0.004461391,0.833889,1.3068541,0.0011851399,0.16210938,285.28604,7.8
22,57.29,9.0,3584,376832.0,-0.0035880283,0.80795854,1.313682,0.0011505227,0.1954956,285.12912,9.0
23,54.5,8.8,2933,393216.0,-0.002469455,0.82054114,1.3137797,0.0006326608,0.15008545,284.98904,8.8
24,66.7,8.2,3627,409600.0,-0.0024669683,1.0759612,1.3022543,0.0004965618,0.1508789,284.8987,8.2
25,61.27,8.5,3586,425984.0,-0.0020118374,0.89834076,1.3030742,0.00030062147,0.13114421,284.8018,8.5
26,70.02,7.9,3621,442368.0,-0.0014411059,0.89685327,1.3217982,0.00019494351,0.1453247,284.70013,7.9
27,58.44,9.0,3579,458752.0,-0.0013234521,0.8413017,1.303298,0.00011692149,0.14245605,284.6122,9.0
28,57.63,8.4,3613,475136.0,-0.0008882585,0.8179054,1.301473,7.557918e-05,0.20054118,284.54712,8.4
29,66.45,8.9,2983,491520.0,-0.00043144784,0.8273323,1.3133215,1.4611795e-05,0.1618449,284.50644,8.9
30,60.56,7.5,1626,516384.0,0.0032767802,0.92875487,1.3276359,0.025133492,0.2331543,284.49393,7.5
31,54.9,9.1,2916,532768.0,-0.012617686,0.94115615,1.2864884,0.011197048,0.14994304,284.64615,9.1
32,64.96,8.1,3551,549152.0,-0.009656739,0.75945926,1.3202019,0.00939229,0.13535564,284.81595,8.1
33,67.74,8.6,3583,565536.0,-0.009241016,0.7783268,1.332182,0.008431798,0.13218181,285.0004,8.6
34,75.55,8.9,3522,581920.0,-0.012492005,0.6650854,1.3613259,0.01047115,0.17091878,285.18686,8.9
35,73.9,8.1,3545,598304.0,-0.011539304,0.6873965,1.3655328,0.009015819,0.16448975,285.38675,8.1
36,68.23,8.5,2922,614688.0,-0.010695753,0.69173664,1.3584725,0.007262701,0.1420695,285.54968,8.5
37,67.91,8.9,3590,631072.0,-0.010796472,0.7263081,1.3559927,0.007508915,0.16033936,285.67548,8.9
38,76.42,8.5,3477,647456.0,-0.011203247,0.6767693,1.374812,0.0070644617,0.1632487,285.75586,8.5
39,76.24,9.1,3525,663840.0,-0.009307608,0.7419017,1.368111,0.006457022,0.1665446,285.81128,9.1
