,eplenmean,eprew,fps,total_timesteps,policy_loss,value_loss,policy_entropy,approxkl,clipfrac,l2_loss,train_score
53,58.41,6.4,2633,884736.0,-0.0028396167,1.5468264,1.1525722,0.0028680183,0.0252889,470.6122,5.0
54,55.03,7.1,2720,901120.0,-0.0019546691,1.6016158,1.1560484,0.0028961685,0.025248209,471.64844,9.0
55,52.88,5.7,2652,917504.0,-0.0026282165,1.5614748,1.2321401,0.0029715968,0.02976481,472.5005,6.0
56,46.1,6.6,2597,933888.0,-0.0019691498,1.6882621,1.2035359,0.004332495,0.04530843,473.45642,8.0
57,57.46,5.7,2393,950272.0,-0.0022425887,1.5324885,1.1956873,0.0035796084,0.04099528,474.29514,4.0
58,50.52,5.8,2455,966656.0,-0.0036931837,1.6520883,1.1467365,0.0032586225,0.034871418,475.37488,6.0
59,59.03,5.3,2389,983040.0,-0.003063238,1.3991314,1.1649476,0.0037062,0.04329427,476.6578,5.0
60,52.51,7.0,2580,999424.0,-0.0028305862,1.6311151,1.1335459,0.0033843343,0.038085938,477.76038,7.0
61,47.68,6.0,2623,1015808.0,-0.0025823554,1.5304214,1.1450154,0.003229674,0.0345459,478.7308,3.0
62,49.02,6.1,2667,1032192.0,-0.00351651,1.5603672,1.166176,0.0035189951,0.0423584,479.91055,6.0
63,50.52,7.2,2545,1048576.0,-0.003326471,1.4094977,1.1605616,0.0034157615,0.039367676,481.16898,6.0
64,53.18,5.7,2406,1064960.0,-0.0043406137,1.3354225,1.1630468,0.004207986,0.04518636,482.33145,7.0
65,47.16,5.0,2465,1081344.0,-0.0031018227,1.6300836,1.1525987,0.0037346852,0.041971844,483.3766,4.0
66,54.39,6.8,2396,1097728.0,-0.003319418,1.3682288,1.1713061,0.003816021,0.04079183,484.43628,7.0
67,49.59,5.4,2621,1114112.0,-0.002732712,1.6133817,1.1504203,0.003079004,0.03330485,485.47812,6.0
68,48.58,6.1,2663,1130496.0,-0.0026892247,1.6039209,1.1244,0.0050283656,0.06555176,486.5248,5.0
69,48.0,6.4,2697,1146880.0,-0.005085801,1.5313945,1.1232883,0.0045235627,0.061157227,487.62317,7.0
70,55.22,6.0,2482,1163264.0,-0.0020288709,1.5843235,1.1268268,0.0045303903,0.057352703,488.68033,4.0
71,49.35,7.7,2415,1179648.0,-0.0030009814,1.3786212,1.1147486,0.0035552236,0.03922526,489.67484,10.0
72,46.89,5.5,2430,1196032.0,-0.005028827,1.4721886,1.1722856,0.003716291,0.04392497,490.6926,3.0
73,56.31,6.3,2437,1212416.0,-0.0031762144,1.514863,1.1245874,0.0039121914,0.04506429,491.7162,5.0
74,49.38,6.9,2582,1228800.0,-0.0020658232,1.3919467,1.1393955,0.0064475983,0.10089111,492.71,8.0
75,59.63,5.5,2621,1245184.0,-0.0035919165,1.5668875,1.1657792,0.0034013183,0.036295574,493.58817,7.0
76,59.99,6.9,2585,1261568.0,-0.0038139971,1.461154,1.1680784,0.0035065582,0.042114258,494.4802,4.0
77,52.77,6.1,2536,1277952.0,-0.0037915185,1.50427,1.1521908,0.004675868,0.06323242,495.3479,7.0
78,55.38,6.1,2419,1294336.0,-0.0026882447,1.3823838,1.1762867,0.0031135816,0.032735188,496.23862,7.0
