,eplenmean,eprew,fps,total_timesteps,policy_loss,value_loss,policy_entropy,approxkl,clipfrac,l2_loss,train_score
53,60.21,5.6,1558,442368.0,-0.0051418855,1.3725867,1.3860621,0.005535074,0.06685384,475.90665,5.6
54,66.24,7.6,1601,450560.0,-0.004204125,1.2819782,1.374506,0.005775127,0.07059733,477.07443,7.6
55,71.29,5.3,1576,458752.0,-0.007182892,1.2624823,1.4095904,0.0059186444,0.07267252,478.28885,5.3
56,54.81,5.3,1608,466944.0,-0.0033795794,1.3477982,1.3966132,0.0055284346,0.06506348,479.53128,5.3
57,53.38,5.6,1594,475136.0,-0.004445846,1.4842839,1.3729488,0.004805702,0.052164715,480.48727,5.6
58,71.34,4.1,1545,483328.0,-0.0075008986,1.1983088,1.415208,0.006055664,0.07511393,481.59195,4.1
59,63.15,5.8,1560,491520.0,-0.0042376905,1.4240853,1.385272,0.0050314213,0.06144206,482.95923,5.8
60,60.55,3.7,1591,499712.0,-0.0067357686,1.2660828,1.3956227,0.006027937,0.0764567,484.07755,3.7
61,61.5,7.2,1581,507904.0,-0.0044553205,1.5475645,1.3852701,0.0057210294,0.07080078,485.3043,7.2
62,55.5,5.6,1592,516096.0,-0.0059825536,1.2793463,1.3647819,0.005581269,0.063435875,486.36014,5.6
63,60.61,5.1,1575,524288.0,-0.0067112013,1.3516892,1.3498893,0.0055697695,0.071777344,487.37842,5.1
64,61.4,5.1,1604,532480.0,-0.0057636295,1.3666681,1.3601462,0.0053062593,0.0641683,488.52493,5.1
65,58.24,5.0,1571,540672.0,-0.005870975,1.6566291,1.299722,0.0046407166,0.053141277,489.6108,5.0
66,55.78,5.6,1575,548864.0,-0.0062649623,1.3140385,1.3400158,0.005094354,0.065348305,490.75992,5.6
67,60.41,7.5,1587,557056.0,-0.0054430715,1.7191883,1.3086827,0.005532572,0.06673177,491.9738,7.5
68,57.47,6.6,1613,565248.0,-0.0063573476,1.3201234,1.2672604,0.0066805906,0.09122721,493.1836,6.6
69,64.58,5.2,1625,573440.0,-0.0063533895,2.0435293,1.2633666,0.004763911,0.05871582,494.3435,5.2
70,57.41,6.1,1589,581632.0,-0.008713077,1.3106287,1.2714599,0.007565998,0.10811361,495.5768,6.1
71,56.78,5.5,1570,589824.0,-0.0050864,1.619943,1.304479,0.004919004,0.05765788,496.7019,5.5
72,58.6,5.8,1600,598016.0,-0.006952755,1.4980892,1.2780774,0.005478975,0.06994629,497.65103,5.8
73,54.51,5.9,1630,606208.0,-0.004579739,1.3853921,1.3199157,0.0067296396,0.09651693,498.43335,5.9
74,61.74,5.2,1586,614400.0,-0.008739502,1.1903571,1.3400921,0.008177695,0.11206055,499.34305,5.2
75,59.99,4.4,1611,622592.0,-0.0058210543,1.365066,1.3428546,0.007764309,0.11088053,500.72266,4.4
76,54.73,5.7,1578,630784.0,-0.007607823,1.6091824,1.3029045,0.006052207,0.08105469,502.0327,5.7
77,60.67,6.6,1629,638976.0,-0.0041514803,1.5410932,1.31228,0.0058047813,0.07800293,503.40256,6.6
78,55.71,6.6,1569,647168.0,-0.010327285,1.0591973,1.3428441,0.007924232,0.112589516,504.4147,6.6
79,67.76,7.0,1568,655360.0,-0.008272813,1.3367114,1.3370517,0.00729405,0.10620117,505.74814,7.0
80,58.7,6.8,1571,663552.0,-0.007998336,1.3518499,1.3100692,0.0062042437,0.086873375,507.02072,6.8
81,53.13,6.3,1591,671744.0,-0.006549312,1.4458035,1.2885551,0.008397301,0.1208903,508.1862,6.3
82,53.41,5.0,1585,679936.0,-0.007636925,1.0999278,1.3368784,0.0060633346,0.08561198,509.1448,5.0
83,58.27,6.6,1557,688128.0,-0.006497333,1.4459635,1.3220526,0.005919641,0.079060875,510.0941,6.6
84,57.09,5.6,1626,696320.0,-0.009680916,1.2193623,1.3187315,0.0066494476,0.09578451,510.9678,5.6
85,62.79,4.7,1584,704512.0,-0.010822907,1.1569787,1.3589286,0.0076648383,0.10957845,511.99905,4.7
86,63.65,6.6,1589,712704.0,-0.006380822,1.1399895,1.3419824,0.0056164395,0.0732015,513.51746,6.6
87,57.89,8.0,1573,720896.0,-0.009951572,1.1552914,1.3151476,0.0072602048,0.10583496,514.8019,8.0
88,70.16,5.8,1578,729088.0,-0.0066014207,1.1202264,1.3660984,0.006782009,0.09753418,516.11584,5.8
89,60.37,7.0,1587,737280.0,-0.009400853,1.0816787,1.3554707,0.0066730944,0.09236654,517.2143,7.0
90,75.9,6.2,1578,745472.0,-0.0090781115,1.1697544,1.3477648,0.008106693,0.12198893,518.26263,6.2
91,102.8,5.1,1568,753664.0,-0.009285879,1.1704167,1.3683625,0.0074237436,0.10827637,519.4452,5.1
92,68.77,4.3,1541,761856.0,-0.008176773,1.0565463,1.4182043,0.007895483,0.11450195,520.7416,4.3
93,64.74,5.7,1594,770048.0,-0.008568302,1.0424072,1.4018551,0.008204221,0.12634277,521.87244,5.7
94,79.66,5.7,1556,778240.0,-0.007871092,1.1278824,1.3942543,0.007459013,0.103271484,522.95825,5.7
95,73.57,3.6,1579,786432.0,-0.009762165,0.95332456,1.4032282,0.0067974417,0.09436035,524.0681,3.6
96,68.64,5.1,1569,794624.0,-0.009115475,0.9951189,1.421939,0.006396513,0.088419594,525.33875,5.1
97,61.35,4.6,1550,802816.0,-0.008328426,0.9903467,1.4239284,0.007583139,0.11242676,526.57623,4.6
98,67.97,6.7,1589,811008.0,-0.006924689,1.0735061,1.4221201,0.007224155,0.1056722,527.63837,6.7
99,71.95,6.1,1579,819200.0,-0.00901189,1.0436015,1.3888949,0.007537399,0.11344401,528.3976,6.1
100,67.04,5.4,1575,827392.0,-0.0083462065,0.98624414,1.3906083,0.0059019644,0.078816734,529.3936,5.4
