,eplenmean,eprew,fps,total_timesteps,policy_loss,value_loss,policy_entropy,approxkl,clipfrac,l2_loss,train_score
0,174.7,5.1,686,8192.0,-0.0027998341,0.2995139,1.9432902,0.002662354,0.018229166,417.08142,5.1
1,322.61,4.2,1635,16384.0,-0.0013567362,0.39412808,1.9322014,0.0013789345,0.007039388,417.29407,4.2
2,345.37,4.0,1657,24576.0,-0.0018306659,0.8784365,1.923233,0.0026806558,0.01957194,417.54446,4.0
3,301.59,3.8,1642,32768.0,-0.0026920654,0.7895761,1.8944753,0.0057939305,0.04309082,417.90833,3.8
4,161.84,4.6,1691,40960.0,-0.0028156948,1.2955476,1.8701698,0.0031686013,0.022501627,418.27316,4.6
5,133.45,4.0,1646,49152.0,-0.0017729863,1.4826146,1.852362,0.0040943488,0.03527832,418.68625,4.0
6,94.99,3.5,1685,57344.0,-0.0019678392,1.9139498,1.8121017,0.0046034902,0.03218587,419.1432,3.5
7,72.17,5.7,1637,65536.0,-0.0017079586,2.0850601,1.7959062,0.0028649794,0.0139973955,419.6683,5.7
8,113.4,5.0,1643,73728.0,-0.0038452486,1.5135258,1.7476921,0.006704828,0.056599934,420.2876,5.0
9,88.97,5.1,1600,81920.0,-0.00070052064,1.7451514,1.7390901,0.006757851,0.0625,420.99487,5.1
10,74.67,4.8,1587,90112.0,-0.0024829253,1.9026061,1.7125372,0.006111078,0.06628418,421.76685,4.8
11,72.58,6.5,1648,98304.0,-0.0029869769,2.30419,1.6940869,0.0049742176,0.049397785,422.54846,6.5
12,79.8,6.7,1647,106496.0,-0.0009265064,1.8129096,1.7004191,0.00410029,0.029052734,423.54745,6.7
13,76.04,3.8,1611,114688.0,-0.0013097149,1.6332278,1.6472265,0.004306484,0.024698893,424.56262,3.8
14,69.02,6.8,1607,122880.0,-0.0014223093,1.7894588,1.6104522,0.007926532,0.08231608,425.72818,6.8
15,110.14,6.3,1667,131072.0,-0.0019616622,1.8019878,1.5527679,0.0032600604,0.01953125,426.7314,6.3
16,72.47,4.6,1646,139264.0,-0.0008351438,1.8267816,1.5599519,0.004409763,0.047159832,427.78506,4.6
17,68.76,4.9,1670,147456.0,-0.0018640613,1.674923,1.5565013,0.0028199852,0.025756836,429.0682,4.9
18,62.54,6.3,1613,155648.0,-0.0023415766,1.754347,1.5380297,0.004769596,0.041951496,430.41882,6.3
19,65.66,6.8,1647,163840.0,-0.00044640247,1.7881414,1.5350975,0.0039357548,0.026570639,431.7655,6.8
20,56.45,4.7,1639,172032.0,-0.00085246254,1.7066903,1.4905847,0.0066575077,0.0662028,432.90305,4.7
21,66.97,5.5,1631,180224.0,-0.0004364112,1.5230688,1.5660907,0.0026417898,0.01900228,433.98645,5.5
22,64.0,5.7,1657,188416.0,-0.0016819077,1.612462,1.4883097,0.0033866551,0.022338867,435.09976,5.7
23,58.5,5.3,1674,196608.0,-0.0031993352,1.8253869,1.484886,0.003112694,0.025431314,436.18234,5.3
24,69.69,4.2,1608,204800.0,-0.002092373,1.5211421,1.5358526,0.003237683,0.026896158,437.4158,4.2
25,66.48,5.2,1691,212992.0,-0.0021674337,1.4456543,1.5660152,0.003267757,0.02355957,438.81226,5.2
26,61.64,5.2,1613,221184.0,-0.002537393,1.4881288,1.5519801,0.0033496628,0.025472006,440.40417,5.2
27,66.89,4.9,1690,229376.0,-0.0023246452,1.4712458,1.5153161,0.004533158,0.03523763,441.7592,4.9
28,70.38,4.7,1662,237568.0,-0.002973587,1.5685444,1.5540366,0.004287739,0.037923176,443.05807,4.7
29,64.85,4.4,1659,245760.0,-0.0031379086,1.4778475,1.5417775,0.004589698,0.044270832,444.46265,4.4
30,84.74,6.8,1652,253952.0,-0.0057469034,1.3937454,1.5259484,0.005162112,0.048746746,446.13803,6.8
31,62.99,5.9,1651,262144.0,-0.0030727682,1.3537651,1.5394391,0.004179997,0.03527832,447.56653,5.9
32,65.12,5.8,1626,270336.0,-0.004337053,1.6197772,1.5434569,0.003730271,0.037719727,449.02963,5.8
33,58.55,5.3,1620,278528.0,-0.0030929716,1.4639444,1.5029701,0.005281689,0.060872395,450.4702,5.3
34,71.59,5.4,1633,286720.0,-0.0037166644,1.5830408,1.4683613,0.0040401723,0.032592773,452.0399,5.4
35,68.76,4.9,1630,294912.0,-0.003351234,1.5748688,1.524426,0.0033269331,0.032958984,453.3251,4.9
36,53.35,4.8,1609,303104.0,-0.0031024294,1.3434091,1.5324916,0.0047510867,0.04793294,454.61853,4.8
37,61.01,7.0,1663,311296.0,-0.004156072,1.4064456,1.4861304,0.0044907066,0.044881184,455.87292,7.0
38,53.29,6.1,1597,319488.0,-0.0062082927,1.7297031,1.4154769,0.005527807,0.06876627,457.08292,6.1
39,61.89,6.5,1626,327680.0,-0.0037351672,1.7564687,1.4364148,0.0032873247,0.028198242,458.20486,6.5
40,58.91,5.4,1647,335872.0,-0.005709784,1.5955776,1.4130648,0.004599677,0.040323894,459.3588,5.4
41,60.58,3.4,1646,344064.0,-0.0044564237,1.5156511,1.4463147,0.005431242,0.05847168,460.446,3.4
42,68.52,5.3,1647,352256.0,-0.005102484,1.5690517,1.4443545,0.0035568306,0.036621094,461.49045,5.3
43,55.82,6.8,1631,360448.0,-0.005193625,1.4653587,1.4217883,0.0047698873,0.056396484,462.65952,6.8
44,67.28,6.6,1630,368640.0,-0.003966057,1.7125101,1.4073334,0.0047682547,0.046590168,464.00623,6.6
45,54.48,5.0,1657,376832.0,-0.006747624,1.5369186,1.4353437,0.0055676843,0.069620766,465.36902,5.0
46,63.94,4.3,1609,385024.0,-0.004863445,1.5438064,1.4410511,0.005574351,0.06966146,467.03952,4.3
47,55.87,5.2,1646,393216.0,-0.0032852578,1.8093716,1.3744713,0.0057188775,0.072143555,468.5552,5.2
48,57.69,4.7,1669,401408.0,-0.0043144883,1.857037,1.3510765,0.005029418,0.06262207,469.76425,4.7
49,61.71,6.2,1610,409600.0,-0.004281318,1.8600488,1.3581892,0.0048367707,0.056396484,470.866,6.2
50,65.86,6.9,1637,417792.0,-0.004924702,1.5995135,1.3468922,0.004821002,0.056803387,472.08774,6.9
51,62.21,6.7,1678,425984.0,-0.0041206162,1.7974089,1.3226873,0.0059614447,0.0748291,473.38855,6.7
52,48.06,5.6,1685,434176.0,-0.0056486097,1.5206746,1.348148,0.005947014,0.07686361,474.4253,5.6
53,54.94,5.7,1621,442368.0,-0.005535278,1.6396708,1.3301877,0.00479,0.06201172,475.6213,5.7
54,52.11,6.5,1655,450560.0,-0.0062571974,1.7850007,1.2856344,0.0055406825,0.071126305,476.9297,6.5
55,55.17,5.7,1640,458752.0,-0.0044863014,1.676662,1.3035094,0.005340781,0.072021484,478.26895,5.7
56,51.91,6.0,1661,466944.0,-0.0060817697,1.6271944,1.3050262,0.0054008723,0.06998698,479.48276,6.0
57,64.0,5.3,1644,475136.0,-0.0059319283,1.4585398,1.3480958,0.006432176,0.087890625,480.81876,5.3
58,58.29,6.0,1645,483328.0,-0.0065197027,1.6089993,1.3209412,0.006097359,0.07702637,482.35342,6.0
59,56.7,6.2,1641,491520.0,-0.004732842,1.7176327,1.3236328,0.0054859943,0.06998698,483.80542,6.2
60,52.08,6.7,1646,499712.0,-0.0063240114,1.6111984,1.2892065,0.0050560865,0.063313805,484.90146,6.7
