,eplenmean,eprew,fps,total_timesteps,policy_loss,value_loss,policy_entropy,approxkl,clipfrac,l2_loss,train_score
0,175.73,2.9,1254,16384.0,-0.00048279957,0.21224111,1.9448465,0.0009932584,0.0,417.8019,2.9
1,269.27,3.4,2894,32768.0,-0.0010772093,0.23802364,1.9378425,0.0023540491,0.006978353,417.9727,3.4
2,359.62,5.9,2850,49152.0,-0.0036323462,1.0298727,1.9113821,0.0044723595,0.04748535,418.31155,5.9
3,274.67,4.1,2682,65536.0,-0.00270271,0.9098919,1.9034358,0.00491565,0.026407877,418.62778,4.1
4,187.24,3.9,2724,81920.0,-0.0030235674,0.82950944,1.8677349,0.0059362142,0.038146973,419.04688,3.9
5,117.63,4.7,2628,98304.0,-0.0037124676,1.4566149,1.8101515,0.0055635744,0.049357098,419.50977,4.7
6,92.31,4.4,2591,114688.0,-0.0019416899,1.6033996,1.7749857,0.0038701715,0.03635661,419.95374,4.4
7,105.71,4.7,2568,131072.0,-0.0025275701,1.5292271,1.765531,0.0031119299,0.018798828,420.48022,4.7
8,95.01,4.5,2523,147456.0,-0.0015696468,1.3679271,1.7599386,0.0038147864,0.051656086,421.11606,4.5
9,95.64,4.4,2586,163840.0,-0.0025016123,1.4969326,1.7272267,0.0037628089,0.033548992,421.82083,4.4
10,85.81,5.4,2597,180224.0,-0.0024860848,1.6756276,1.6936841,0.0035787013,0.031148275,422.5641,5.4
11,81.13,4.6,2578,196608.0,-0.0013897057,1.9124705,1.6889153,0.0022534148,0.0230306,423.5137,4.6
12,89.55,4.4,2504,212992.0,-0.0008830144,1.3951896,1.7126745,0.001310676,0.012451172,424.44125,4.4
13,87.61,4.6,2574,229376.0,-0.0025216746,1.420417,1.6743478,0.003022337,0.0343221,425.39233,4.6
14,84.36,5.1,2615,245760.0,-0.0017918311,1.6310992,1.6305465,0.0025705502,0.023457846,426.27066,5.1
15,78.58,5.3,2627,262144.0,-0.0016005678,1.8710004,1.5545627,0.0020779038,0.03265381,427.1384,5.3
16,65.19,5.5,2612,278528.0,-0.0011952454,1.9195572,1.488411,0.0018463857,0.0252889,428.17786,5.5
17,63.64,5.3,2683,294912.0,-0.0015023731,2.1058033,1.4709917,0.0020142565,0.020874023,428.99585,5.3
18,71.7,6.1,2575,311296.0,-0.0007140054,1.927795,1.4943614,0.0018572304,0.026977539,429.7415,6.1
