,eplenmean,eprew,fps,total_timesteps,policy_loss,value_loss,policy_entropy,approxkl,clipfrac,l2_loss,train_score
52,72.7,5.4,2637,868352.0,0.0002875109,1.9356503,1.6291481,0.002280603,0.014872233,0.72436243,4.0
53,80.36,5.6,2702,884736.0,0.0015852802,2.0726116,1.7186852,0.0054784403,0.078938805,0.71012896,5.0
54,85.71,4.4,2667,901120.0,-0.00062503206,1.5790735,1.766585,0.0015935645,0.0049235024,0.68554026,6.0
55,94.43,4.2,2585,917504.0,-0.0006312965,1.4748015,1.7337446,0.0028906001,0.029805502,0.7501845,2.0
56,76.71,4.9,2677,933888.0,-0.00010801604,1.4881743,1.7472801,0.0013766683,0.0060221353,0.7842775,5.0
57,85.75,4.6,2697,950272.0,0.00066806143,1.8960596,1.7356993,0.0051378566,0.08494059,0.79716176,4.0
58,90.56,3.6,2776,966656.0,0.0006289428,1.8530527,1.7432567,0.004463374,0.061401367,0.7975085,5.0
59,86.36,6.2,2724,983040.0,-0.0009770775,1.4364926,1.7705759,0.0019592566,0.0049438477,0.77205974,7.0
60,91.75,5.7,2605,999424.0,-2.7018425e-05,1.4625416,1.7397879,0.0025161242,0.018432617,0.79812694,6.0
61,85.94,4.0,2622,1015808.0,-0.00025335044,1.4516983,1.7184521,0.0012819174,0.0014241537,0.8088889,5.0
62,90.64,5.2,2626,1032192.0,-0.00081090856,1.5262475,1.7180258,0.001143288,0.00022379558,0.80538017,5.0
63,84.5,5.7,2630,1048576.0,-0.0004937314,1.4630507,1.7133166,0.0010911933,0.00069173175,0.8073532,4.0
64,82.87,4.5,2692,1064960.0,-0.0006053014,1.6378001,1.7109054,0.0013331365,0.006693522,0.8045129,7.0
65,76.61,6.1,2742,1081344.0,-0.00020521683,1.6381536,1.7095027,0.00066238194,2.0345053e-05,0.7983747,6.0
66,89.77,5.1,2701,1097728.0,-0.0011219288,1.4752365,1.7169447,0.0012023464,0.0004272461,0.7986579,6.0
67,82.33,5.0,2654,1114112.0,-0.00010177558,1.6287285,1.6947027,0.0009540604,0.0005289714,0.79608434,4.0
68,80.2,5.0,2584,1130496.0,-0.00055937655,1.5059291,1.7111311,0.0009446147,0.0,0.8037267,4.0
69,84.6,5.4,2587,1146880.0,4.5940844e-05,1.682185,1.7044014,0.0027012473,0.0256958,0.8437309,4.0
70,77.93,4.8,2746,1163264.0,0.00060204836,1.728803,1.6754404,0.0025239105,0.026204428,0.84840924,5.0
71,91.47,5.8,2752,1179648.0,0.00058986817,1.6225814,1.659968,0.005791867,0.08154297,0.8711498,6.0
72,83.55,4.8,2618,1196032.0,0.00034263913,1.6364585,1.7387133,0.0029850013,0.012573242,0.8484778,6.0
73,109.19,5.1,2646,1212416.0,0.00017205677,1.2361176,1.7634608,0.00086452084,0.00061035156,0.8505028,5.0
74,86.96,5.1,2744,1228800.0,-0.0017778458,1.4463438,1.7246209,0.0036216443,0.033935547,0.87295276,4.0
75,80.41,6.0,2653,1245184.0,-0.00078750425,1.5551105,1.6755992,0.0013549696,0.004007975,0.9194334,9.0
76,80.59,4.9,2692,1261568.0,-0.00081221265,1.7341614,1.6561542,0.0037726539,0.034118652,0.9239431,2.0
77,84.72,4.1,2585,1277952.0,-1.6317936e-05,1.62066,1.6602229,0.0034111238,0.023824057,0.9572072,3.0
78,79.46,4.1,2686,1294336.0,-0.00062519615,1.6683398,1.6591038,0.0031649244,0.03141276,0.9692037,3.0
79,82.85,5.1,2624,1310720.0,-0.00037148758,1.5758476,1.6785709,0.0020580385,0.014404297,0.97097176,6.0
80,86.55,4.9,2674,1327104.0,-0.0014730338,1.5154748,1.7168231,0.001455857,0.0020548503,0.9730001,6.0
81,73.7,5.0,2644,1343488.0,-0.00013703704,1.6678802,1.695551,0.0005789806,0.0005289714,0.9823014,6.0
82,87.8,5.3,2652,1359872.0,-9.576491e-05,1.3711802,1.7543408,0.00072132034,0.0010782877,0.9847776,3.0
83,88.67,4.4,2609,1376256.0,-0.0012784147,1.3525845,1.7204298,0.0031752773,0.025533041,0.9960043,2.0
84,84.05,4.8,2643,1392640.0,-0.00042702202,1.5830575,1.7119808,0.0007593171,0.0,1.0091733,6.0
85,85.96,5.7,2792,1409024.0,-0.0009829928,1.4558007,1.6861515,0.0019348287,0.0056966147,1.0227247,5.0
86,72.61,4.4,2622,1425408.0,-0.0011519425,1.6030855,1.6206461,0.0032131004,0.007548014,1.0496029,1.0
87,75.77,5.9,2610,1441792.0,-0.0010228223,1.6724511,1.5387841,0.0041957805,0.03161621,1.0692265,7.0
88,75.77,5.8,2691,1458176.0,3.4572015e-05,1.8758398,1.5927416,0.0014535408,0.005900065,1.0673755,5.0
89,70.77,6.1,2689,1474560.0,0.00070834876,1.7469255,1.5831069,0.001993604,0.008728027,1.0956993,4.0
90,71.63,6.5,2664,1490944.0,-0.0010025612,1.7577633,1.5265573,0.004244039,0.027893066,1.1054784,7.0
91,67.96,5.5,2799,1507328.0,-9.2698785e-05,1.7380201,1.5215827,0.00095961755,0.0017496744,1.0989636,5.0
92,67.92,5.7,2657,1523712.0,-0.0014788216,1.9136335,1.4768506,0.0025791905,0.005432129,1.0957644,5.0
93,61.43,4.4,2603,1540096.0,-0.0006405623,1.8532869,1.4496979,0.0014663512,0.0022176106,1.12144,3.0
94,74.11,5.4,2615,1556480.0,-0.00040330735,1.7709981,1.4663815,0.0020425348,0.022440592,1.1796284,7.0
95,72.64,5.8,2647,1572864.0,0.0011643047,1.9843191,1.4907311,0.002820716,0.027913412,1.2373915,8.0
96,61.54,5.7,2615,1589248.0,3.3595057e-05,2.2301238,1.4727969,0.0038522647,0.04001872,1.280821,6.0
97,63.34,4.0,2693,1605632.0,0.00064617355,2.057191,1.468851,0.0035007305,0.035664875,1.3261659,3.0
98,74.46,5.3,2716,1622016.0,0.00028894763,1.9255363,1.5314016,0.00256439,0.018351236,1.3617796,5.0
99,71.09,5.4,2649,1638400.0,-0.00023965324,1.7211556,1.5723573,0.0020502612,0.02372233,1.3494557,6.0
100,65.96,5.2,2739,1654784.0,-0.00038849257,1.9321904,1.5187217,0.001121773,0.0038452148,1.3801942,5.0
101,72.09,5.2,2652,1671168.0,-0.00082725636,1.8797396,1.5357594,0.0016674562,0.004964193,1.402968,7.0
102,66.63,4.1,2637,1687552.0,0.00036079076,1.7928435,1.4976987,0.001120227,0.0038452148,1.4640063,7.0
103,66.12,5.4,2702,1703936.0,-0.000344363,1.8283666,1.5056971,0.0018758792,0.013000488,1.4800156,3.0
104,66.32,5.3,2717,1720320.0,0.00038494755,2.092101,1.4627901,0.0044614957,0.053344727,1.5038805,5.0
105,68.27,7.1,2664,1736704.0,0.0006453626,1.9844475,1.4925176,0.0029813165,0.041097004,1.5225987,8.0
106,73.04,5.3,2639,1753088.0,2.2128322e-06,1.7840285,1.5257977,0.0009482634,0.004313151,1.5320398,7.0
107,65.18,5.2,2731,1769472.0,-0.000490464,1.9352112,1.4906435,0.0009222636,0.0034993489,1.5472174,6.0
108,66.83,6.0,2782,1785856.0,0.00034549553,1.9393471,1.5169215,0.0018116654,0.010864258,1.5646167,7.0
109,67.74,4.9,2700,1802240.0,0.00031754634,1.8926501,1.5490541,0.0015990039,0.008199056,1.579316,3.0
110,71.84,6.2,2744,1818624.0,5.93658e-06,1.7196084,1.6151834,0.0008944732,0.00801595,1.5735618,5.0
111,86.22,5.0,2653,1835008.0,-0.00035330383,1.5843242,1.661903,0.0030423768,0.028889975,1.5764985,6.0
112,77.26,6.2,2758,1851392.0,-0.00026369045,1.6559539,1.6830453,0.00076254696,0.00095621747,1.5528418,7.0
113,92.33,4.8,2686,1867776.0,-0.00038319142,1.512888,1.6923448,0.0007513203,0.0,1.533765,4.0
114,74.83,4.7,2634,1884160.0,-0.00010112056,1.4354391,1.7017001,0.0005744813,0.00036621094,1.5523466,6.0
115,94.73,4.3,2724,1900544.0,-0.0004803408,1.376865,1.7084557,0.0009370703,8.138021e-05,1.5512733,6.0
116,75.46,5.7,2739,1916928.0,9.166705e-05,1.5598177,1.7166362,0.000658355,0.0005289714,1.5532422,7.0
117,92.45,5.1,2767,1933312.0,6.748508e-05,1.4249107,1.7402091,0.0004597155,0.0,1.559825,3.0
118,89.78,5.4,2690,1949696.0,-0.00043620027,1.4500837,1.7420701,0.0005756953,0.00010172526,1.5566362,4.0
119,90.47,5.4,2704,1966080.0,-0.00020870642,1.4919034,1.7523093,0.00055481493,0.0,1.525678,6.0
120,95.37,4.4,2651,1982464.0,-0.0008808013,1.2774287,1.7434505,0.0010912739,0.00024414062,1.5339785,2.0
121,91.81,5.0,2632,1998848.0,-0.00053071853,1.4727374,1.7253441,0.0010374362,0.00010172526,1.5536917,6.0
122,83.77,6.3,2621,2015232.0,-0.00073657493,1.4756199,1.7230228,0.0007457779,0.0,1.5522747,6.0
123,75.06,3.6,2637,2031616.0,-0.00066227146,1.4490365,1.7193389,0.0009789175,0.00014241536,1.56261,3.0
124,88.39,4.7,2695,2048000.0,-0.0003827795,1.500271,1.6980423,0.0008661083,0.0005289714,1.5771505,4.0
125,79.94,5.6,2673,2064384.0,-0.0006156483,1.588055,1.6833743,0.0013014766,0.0028686523,1.5690999,5.0
126,79.07,5.5,2707,2080768.0,-0.0008921306,1.785937,1.6480354,0.001148405,0.005859375,1.5689112,7.0
127,76.68,5.2,2630,2097152.0,-0.0009807573,1.6792883,1.6255956,0.0021242346,0.015279134,1.5753769,3.0
128,71.43,4.8,2676,2113536.0,0.00029790183,1.6856251,1.6554022,0.0012728401,0.0022379558,1.5827932,7.0
129,75.88,4.7,2653,2129920.0,-0.0007771381,1.6795287,1.6492147,0.0011145424,0.0021565754,1.5826942,5.0
130,75.32,5.5,2675,2146304.0,-0.00037316966,1.7719846,1.6432103,0.00081502204,0.0005289714,1.5972701,6.0
131,76.63,5.8,2646,2162688.0,-0.00049116096,1.7854449,1.6477513,0.0012870552,0.006652832,1.6187178,6.0
132,83.55,5.0,2648,2179072.0,-0.00018742557,1.659536,1.689334,0.0005672791,0.0,1.6292609,5.0
133,80.19,4.2,2653,2195456.0,-0.00052303245,1.4807254,1.6979359,0.0007323716,0.0004272461,1.6368297,6.0
134,71.79,4.8,2672,2211840.0,-0.0014005401,1.6448056,1.6720031,0.0028942928,0.03499349,1.6506277,5.0
135,80.16,5.2,2613,2228224.0,-5.072194e-05,1.5910577,1.7107292,0.0008655628,0.0017293295,1.6668983,4.0
136,76.43,5.7,2613,2244608.0,-0.00060032844,1.5449519,1.7327045,0.00067139027,0.0013224283,1.6773858,5.0
137,90.17,4.4,2614,2260992.0,-0.0005775665,1.3184752,1.7215773,0.0009255199,0.0016479492,1.6944541,3.0
138,86.09,4.5,2639,2277376.0,-0.0010215058,1.5143356,1.7249999,0.0016949322,0.0141398115,1.6896099,6.0
139,91.52,4.6,2652,2293760.0,-0.00034296353,1.2321771,1.7392458,0.0003380964,0.00014241536,1.669702,6.0
140,87.13,5.2,2608,2310144.0,-0.0006771024,1.5835446,1.7166352,0.0011906221,0.0018717448,1.6776718,8.0
141,78.72,5.3,2672,2326528.0,-0.00061056204,1.5932847,1.6968616,0.0016047928,0.002298991,1.6528697,5.0
142,90.79,6.0,2573,2342912.0,-0.0007935719,1.5671719,1.6809615,0.0014224941,0.0008748372,1.6509408,7.0
143,77.97,4.5,2608,2359296.0,-2.5480005e-05,1.5966841,1.6495758,0.0010036572,0.0009358724,1.6693846,8.0
144,70.44,5.8,2662,2375680.0,-0.00079753046,2.0101163,1.6458033,0.0015117164,0.013448079,1.6713413,7.0
145,79.19,5.4,2573,2392064.0,-0.0013057995,1.4869595,1.6244068,0.002797561,0.023213705,1.6799237,3.0
146,77.77,6.1,2651,2408448.0,-0.00023180677,1.5852346,1.5938867,0.0011318367,0.0021769207,1.676713,8.0
147,69.98,4.0,2606,2424832.0,-2.132779e-05,1.7986382,1.5925531,0.000899713,0.008544922,1.6802582,6.0
148,78.65,5.1,2644,2441216.0,-0.0014747974,1.6206135,1.5758718,0.004138634,0.03375244,1.6529102,4.0
149,76.31,4.4,2589,2457600.0,-0.0010153666,1.6711106,1.563336,0.002494941,0.026428223,1.64255,4.0
150,79.06,5.7,2669,2473984.0,-0.00048840843,1.6675087,1.6282043,0.0008759671,0.0013224283,1.6628733,6.0
151,71.57,4.2,2678,2490368.0,-0.00019197229,1.7621826,1.6200938,0.0014809343,0.005167643,1.675953,3.0
152,70.66,5.6,2645,2506752.0,-0.00019792914,1.7176405,1.5965271,0.002185934,0.014119466,1.738945,5.0
153,73.36,4.8,2616,2523136.0,-0.00032238153,1.6272917,1.659146,0.0009838267,0.005167643,1.7626395,6.0
154,77.15,4.8,2652,2539520.0,-0.0006373544,1.5370334,1.6300777,0.0030975845,0.034932453,1.777155,5.0
155,84.06,4.7,2643,2555904.0,-0.0009773144,1.4801418,1.6707683,0.0010050859,0.0010375977,1.7564493,3.0
