,eplenmean,eprew,fps,total_timesteps,policy_loss,value_loss,policy_entropy,approxkl,clipfrac,l2_loss,train_score
0,159.3,2.0,664,8192.0,-0.0008870388,0.1179939,1.945333,0.0006163198,0.0,337.4032,2.0
1,275.9,3.9,1619,16384.0,-0.00041698423,0.29164156,1.9449221,0.0001864652,0.0,195.70842,3.9
2,353.81,3.7,1642,24576.0,-0.000115003844,0.12443313,1.9453316,8.873249e-05,0.0,103.36739,3.7
3,539.55,2.2,1579,32768.0,-0.00035853987,0.32658544,1.9450668,0.00013032061,0.0,50.55583,2.2
4,492.81,1.9,1589,40960.0,-0.00066218345,0.17472313,1.944344,0.0003464705,0.0,23.211908,1.9
5,491.29,2.3,1618,49152.0,-0.0005197528,0.24037687,1.9425472,0.0004360115,0.0,9.53077,2.3
6,465.9,3.1,1601,57344.0,-0.00093580474,0.38879582,1.9370848,0.0011004419,0.0,3.6036813,3.1
7,313.68,4.1,1584,65536.0,-0.0013404079,0.9844559,1.9212519,0.0040157354,0.029215494,1.6178693,4.1
8,317.57,4.4,1581,73728.0,-0.0018683489,0.62668747,1.913518,0.003568387,0.02355957,0.8723274,4.4
9,177.32,3.3,1594,81920.0,-0.0010041288,0.8501498,1.8902458,0.0030306994,0.0,0.52120167,3.3
10,174.23,4.7,1598,90112.0,-0.0019282548,1.2405039,1.8659738,0.00337227,0.037231445,0.39168537,4.7
11,133.41,4.6,1570,98304.0,-0.0005890332,1.2986258,1.8251051,0.005003981,0.07145182,0.36147514,4.6
12,133.33,4.7,1565,106496.0,-0.0007130482,1.3584479,1.7737607,0.0037461286,0.0025227864,0.35715792,4.7
13,96.63,3.7,1656,114688.0,-0.00032233362,1.8465978,1.7253927,0.00306571,0.0056152344,0.36503732,3.7
14,105.62,5.1,1538,122880.0,-0.00204938,1.5440602,1.740542,0.0063751093,0.060384113,0.33626842,5.1
15,92.94,5.0,1641,131072.0,-0.0022862514,1.6598016,1.7294158,0.006149791,0.052042644,0.3384849,5.0
16,92.83,5.8,1576,139264.0,-0.0017364761,1.7894427,1.7044249,0.0052569546,0.057942707,0.3331862,5.8
17,83.88,3.1,1574,147456.0,-0.0007451798,1.8136865,1.7366482,0.003530294,0.0,0.3437765,3.1
18,98.26,3.9,1603,155648.0,-0.0022075726,1.4376625,1.7496958,0.004048589,0.03531901,0.35197225,3.9
19,91.76,5.6,1578,163840.0,-0.001311128,1.7416191,1.7065715,0.0037870824,0.01949056,0.34784448,5.6
20,72.69,3.8,1613,172032.0,-0.0029416308,1.8356394,1.5538607,0.0077236365,0.09615072,0.35634804,3.8
21,58.01,4.8,1611,180224.0,-0.0013992833,2.2819924,1.4930578,0.0035277037,0.009073894,0.37016448,4.8
22,67.34,5.8,1596,188416.0,-0.002777447,2.071862,1.4141325,0.006378817,0.05537923,0.3797048,5.8
23,61.53,6.5,1572,196608.0,-0.0016619996,2.4368122,1.2452921,0.007517634,0.06730143,0.40866432,6.5
24,53.73,5.7,1602,204800.0,1.3818945e-05,2.4770925,1.2433577,0.0024906606,0.021728516,0.4239659,5.7
25,54.25,5.4,1642,212992.0,-0.0006166677,2.3242598,1.2737252,0.002604478,0.007486979,0.4273372,5.4
26,64.37,3.8,1636,221184.0,0.00034957423,2.0288718,1.4232931,0.0033227121,0.048868816,0.40039822,3.8
27,63.95,5.0,1620,229376.0,-0.00045393987,2.0282285,1.4876732,0.0027687715,0.026326498,0.38802326,5.0
28,67.24,4.5,1600,237568.0,-0.000663921,1.8843359,1.4354061,0.0045691105,0.07181803,0.37166905,4.5
29,68.37,5.3,1670,245760.0,0.00014634749,2.145114,1.4675531,0.00470516,0.069132484,0.3497772,5.3
30,67.56,4.1,1615,253952.0,0.00017735954,1.9722759,1.540914,0.0024178107,0.020426432,0.33763692,4.1
31,72.04,5.4,1600,262144.0,-0.0012500297,1.983314,1.6193467,0.007870541,0.10493978,0.3348728,5.4
32,77.47,4.6,1620,270336.0,-0.0017345835,1.7554102,1.5956736,0.008265751,0.098470055,0.31593227,4.6
33,75.07,5.7,1582,278528.0,0.00015129751,1.7897878,1.5514694,0.001896455,0.016723633,0.3304829,5.7
34,81.5,3.0,1607,286720.0,-0.0015808468,1.8670734,1.5820035,0.003453102,0.047973633,0.32546616,3.0
35,74.11,4.9,1638,294912.0,-0.0014639618,1.824284,1.5658273,0.0036976815,0.038777668,0.32097632,4.9
36,76.92,4.8,1633,303104.0,0.000113647686,1.5896139,1.6791288,0.0057009333,0.067993164,0.30562192,4.8
37,94.73,5.7,1602,311296.0,-0.0007245629,1.4499744,1.6992426,0.0037483517,0.005452474,0.29330492,5.7
38,70.47,5.0,1619,319488.0,3.059833e-05,1.7540083,1.6869073,0.004069772,0.038330078,0.2867523,5.0
39,87.23,4.9,1603,327680.0,-0.00042330628,1.7305161,1.7056178,0.0019633828,0.009928386,0.2950162,4.9
